time,wx,wy,wz,ax,ay,az
0.347,-0.05,0.01,0.02,0.01,0.04,0.06
0.347,-0.05,0.01,0.02,0.01,0.04,0.06
0.348,-0.05,0.01,0.02,0.01,0.04,0.06
0.35,-0.05,0.01,0.02,0.01,0.04,0.06
0.351,-0.05,0.02,0.02,0.01,0.04,0.06
0.354,-0.05,0.02,0.02,-0.01,0.07,0.08
0.355,-0.05,0.01,0.02,-0.01,0.07,0.08
0.355,-0.05,0.02,0.02,-0.01,0.07,0.08
0.357,-0.05,0.02,0.02,-0.01,0.07,0.08
0.36,-0.05,0.02,0.02,-0.01,0.07,0.08
0.361,-0.05,0.02,0.02,-0.01,0.07,0.08
0.365,-0.05,0.02,0.02,0,0.08,0.09
0.366,-0.04,0.02,0.02,0,0.08,0.09
0.366,-0.05,0.02,0.02,0,0.08,0.09
0.367,-0.04,0.02,0.02,0,0.08,0.09
0.369,-0.04,0.02,0.03,0,0.08,0.09
0.371,-0.04,0.02,0.03,0,0.08,0.09
0.375,-0.04,0.02,0.03,-0.01,0.12,0.05
0.375,-0.04,0.02,0.02,-0.01,0.12,0.05
0.375,-0.04,0.02,0.03,-0.01,0.12,0.05
0.379,-0.03,0.02,0.03,-0.01,0.12,0.05
0.38,-0.03,0.02,0.03,-0.01,0.12,0.05
0.381,-0.03,0.02,0.03,-0.01,0.12,0.05
0.386,-0.03,0.02,0.03,-0.05,0.16,-0.02
0.386,-0.03,0.02,0.03,-0.05,0.16,-0.02
0.386,-0.03,0.01,0.03,-0.05,0.16,-0.02
0.387,-0.03,0.01,0.02,-0.05,0.16,-0.02
0.389,-0.03,0,0.02,-0.05,0.16,-0.02
0.391,-0.03,0,0.02,-0.05,0.16,-0.02
0.395,-0.03,0,0.02,-0.07,0.14,-0.03
0.396,-0.02,0,0.02,-0.07,0.14,-0.03
0.396,-0.02,0,0.02,-0.07,0.14,-0.03
0.398,-0.02,-0.01,0.02,-0.07,0.14,-0.03
0.399,-0.02,-0.01,0.02,-0.07,0.14,-0.03
0.401,-0.01,-0.01,0.02,-0.07,0.14,-0.03
0.405,-0.01,-0.01,0.02,-0.07,0.14,-0.03
0.405,-0.01,-0.01,0.02,-0.09,0.17,-0.01
0.405,-0.01,-0.01,0.02,-0.09,0.17,-0.01
0.407,-0.01,-0.01,0.02,-0.09,0.17,-0.01
0.41,-0.01,-0.01,0.02,-0.09,0.17,-0.01
0.411,-0.01,-0.01,0.02,-0.09,0.17,-0.01
0.415,-0.01,-0.01,0.02,-0.1,0.21,0
0.416,-0.01,-0.02,0.02,-0.1,0.21,0
0.416,0,-0.02,0.02,-0.1,0.21,0
0.417,-0.01,-0.02,0.02,-0.1,0.21,0
0.419,0,-0.02,0.02,-0.1,0.21,0
0.421,0,-0.02,0.02,-0.1,0.21,0
0.426,0,-0.02,0.02,-0.14,0.22,0.03
0.427,0,-0.03,0.02,-0.14,0.22,0.03
0.427,0,-0.03,0.01,-0.14,0.22,0.03
0.429,0.01,-0.04,0.01,-0.14,0.22,0.03
0.43,0.01,-0.04,0.01,-0.14,0.22,0.03
0.431,0.01,-0.04,0.01,-0.14,0.22,0.03
0.434,0.01,-0.04,0.01,-0.14,0.22,0.14
0.435,0.02,-0.04,0.01,-0.14,0.22,0.14
0.435,0.02,-0.04,0,-0.14,0.22,0.14
0.437,0.02,-0.05,0,-0.14,0.22,0.14
0.439,0.03,-0.05,0,-0.14,0.22,0.14
0.441,0.03,-0.04,0,-0.14,0.22,0.14
0.446,0.03,-0.04,0,-0.15,0.19,0.24
0.447,0.04,-0.04,0,-0.15,0.19,0.24
0.447,0.04,-0.04,0,-0.15,0.19,0.24
0.448,0.04,-0.05,-0.01,-0.15,0.19,0.24
0.45,0.04,-0.04,-0.01,-0.15,0.19,0.24
0.451,0.04,-0.04,-0.01,-0.15,0.19,0.24
0.454,0.04,-0.04,-0.01,-0.16,0.18,0.26
0.454,0.04,-0.04,-0.02,-0.16,0.18,0.26
0.455,0.04,-0.04,-0.02,-0.16,0.18,0.26
0.457,0.05,-0.04,-0.02,-0.16,0.18,0.26
0.461,0.04,-0.04,-0.02,-0.16,0.18,0.26
0.462,0.04,-0.04,-0.02,-0.16,0.18,0.26
0.465,0.04,-0.04,-0.02,-0.2,0.18,0.26
0.465,0.04,-0.03,-0.02,-0.2,0.18,0.26
0.465,0.04,-0.03,-0.03,-0.2,0.18,0.26
0.467,0.04,-0.03,-0.03,-0.2,0.18,0.26
0.469,0.04,-0.03,-0.03,-0.2,0.18,0.26
0.471,0.04,-0.03,-0.03,-0.2,0.18,0.26
0.474,0.04,-0.03,-0.03,-0.16,0.14,0.22
0.474,0.03,-0.02,-0.03,-0.16,0.14,0.22
0.475,0.03,-0.02,-0.03,-0.16,0.14,0.22
0.48,0.03,-0.01,-0.03,-0.16,0.14,0.22
0.48,0.03,-0.01,-0.04,-0.16,0.14,0.22
0.481,0.02,-0.01,-0.04,-0.16,0.14,0.22
0.486,0.02,-0.01,-0.04,-0.13,0.08,0.14
0.487,0.02,0,-0.04,-0.13,0.08,0.14
0.487,0.02,0,-0.04,-0.13,0.08,0.14
0.487,0.01,0,-0.03,-0.13,0.08,0.14
0.489,0.01,0,-0.03,-0.13,0.08,0.14
0.491,0,0,-0.03,-0.13,0.08,0.14
0.502,0,0,-0.03,-0.13,0.05,0.08
0.503,0,0,-0.03,-0.13,0.05,0.08
0.503,0,0,-0.03,-0.13,0.05,0.08
0.503,-0.01,0,-0.03,-0.13,0.05,0.08
0.503,-0.01,0,-0.03,-0.13,0.05,0.08
0.504,-0.01,0,-0.03,-0.13,0.05,0.08
0.506,-0.01,0,-0.03,-0.08,0.04,0.05
0.507,-0.01,0,-0.03,-0.08,0.04,0.05
0.507,-0.01,0,-0.03,-0.08,0.04,0.05
0.508,-0.01,-0.01,-0.03,-0.08,0.04,0.05
