time,ax,ay,az,wx,wy,wz
2.357,-0.1,0.61,0.99,0.11,0.04,-0.17
2.368,0,0.79,1,0.13,0.05,-0.19
2.38,0.05,0.88,0.84,0.15,0.04,-0.24
2.39,0.08,0.55,0.67,0.14,-0.01,-0.24
2.401,0.18,0.22,0.65,0.09,-0.06,-0.27
2.411,0.13,-0.03,0.81,0.05,-0.05,-0.31
2.425,0.06,0.08,1.04,0,0,-0.34
2.435,0.27,0.1,1.08,-0.04,0.04,-0.38
2.448,0.25,0.12,1.04,-0.08,0.11,-0.45
2.458,0.29,0.1,1,-0.08,0.13,-0.48
2.469,0.34,0.1,0.89,-0.07,0.11,-0.5
2.479,0.3,0.03,0.75,-0.05,0.07,-0.56
2.491,0.19,-0.06,0.6,-0.05,0.02,-0.58
2.504,0.12,-0.14,0.54,-0.05,0.01,-0.58
2.517,-0.08,-0.44,0.76,-0.05,-0.05,-0.56
2.528,-0.08,-0.43,0.92,-0.01,0.02,-0.51
2.539,-0.06,-0.37,0.87,0.05,0.14,-0.46
2.55,0.14,-0.17,0.69,0.11,0.22,-0.45
2.561,0.13,-0.05,0.45,0.17,0.28,-0.44
2.572,0.09,-0.09,0.1,0.2,0.26,-0.4
2.587,0.02,-0.44,-0.65,0.21,0.18,-0.38
2.598,-0.17,-0.55,-0.72,0.19,0.04,-0.35
2.608,0,-0.4,-0.74,0.16,-0.06,-0.34
2.619,0.07,-0.24,-0.72,0.14,-0.08,-0.34
2.633,0.18,-0.17,-0.68,0.08,-0.14,-0.32
2.645,0.2,-0.27,-0.53,0.06,-0.19,-0.3
2.656,0.24,-0.54,0,0.07,-0.2,-0.29
2.672,0.24,-0.54,0,0.08,-0.2,-0.29
2.685,0.09,-0.49,0.29,0.09,-0.1,-0.26
2.697,0.18,-0.42,0.16,0.07,0.07,-0.22
2.71,0.18,-0.42,0.16,0.06,0.17,-0.2
2.721,0.04,-0.32,-0.28,0.03,0.31,-0.13
2.735,-0.02,-0.22,-0.69,0.02,0.36,-0.08
2.746,0.02,-0.16,-0.99,0.01,0.36,-0.04
2.757,-0.06,-0.1,-1.44,0.02,0.34,0.01
2.768,-0.09,-0.02,-1.53,0.04,0.31,0.05
2.779,-0.05,0.13,-1.53,0.09,0.26,0.1
2.789,-0.01,0.29,-1.52,0.13,0.25,0.11
2.804,-0.04,0.31,-1.57,0.16,0.23,0.13
2.815,-0.09,0.3,-1.59,0.19,0.16,0.16
2.825,-0.03,0.41,-1.36,0.21,0.13,0.18
2.836,-0.03,0.41,-1.36,0.22,0.12,0.19
2.846,0.03,0.41,-1.12,0.23,0.09,0.24
2.857,0.08,0.46,-0.98,0.22,0.09,0.27
2.868,0.04,0.46,-0.78,0.21,0.11,0.28
2.879,0.1,0.53,-0.65,0.17,0.18,0.31
2.891,0.13,0.59,-0.58,0.14,0.24,0.33
2.905,0.1,0.65,-0.41,0.12,0.27,0.34
2.916,0.15,0.66,-0.33,0.07,0.27,0.35
2.926,0.11,0.54,-0.16,0.03,0.22,0.38
2.937,0.15,0.47,0.08,0.02,0.13,0.39
2.948,0.16,0.65,0.59,0.05,0.05,0.39
2.958,0.23,0.67,0.66,0.07,-0.05,0.39
2.969,0.32,0.58,0.81,0.09,-0.14,0.4
2.979,0.33,0.45,0.99,0.09,-0.26,0.44
2.99,0.33,0.23,1.21,0.09,-0.31,0.46
3.003,0.33,0.23,1.21,0.08,-0.31,0.48
3.014,0.35,0.17,1.88,0.04,-0.12,0.5
3.028,0.23,0.1,1.71,-0.02,0.01,0.56
3.039,0.27,-0.23,2.14,-0.05,0,0.61
3.05,0.27,-0.32,2.51,-0.02,0.06,0.61
3.06,0.13,0,2.47,0.01,0.14,0.59
3.072,0.03,0.47,1.9,0,0.22,0.58
3.087,-0.16,0.22,0.82,-0.01,0.26,0.59
3.105,-0.32,-0.17,0.46,-0.08,0.24,0.59
3.115,-0.5,-0.5,-0.08,-0.16,0.19,0.62
3.126,-0.5,-0.5,-0.08,-0.21,0.16,0.64
3.136,-0.37,-0.5,0.61,-0.27,0.02,0.67
3.147,-0.2,-0.56,1.24,-0.21,-0.17,0.66
3.157,-0.04,-0.63,1.73,-0.08,-0.29,0.6
3.17,0.08,-0.66,1.86,0.07,-0.29,0.51
3.182,-0.09,-0.72,1.46,0.16,-0.18,0.47
3.192,-0.06,-0.61,0.74,0.18,0,0.45
3.203,-0.12,-0.67,0.09,0.14,0.18,0.46
3.214,-0.2,-0.92,-0.78,0.07,0.33,0.47
3.225,-0.45,-0.97,-1.67,0.04,0.34,0.45
3.236,-0.55,-0.95,-1.73,0.01,0.33,0.4
3.248,-0.58,-0.77,-1.67,-0.02,0.33,0.33
3.26,-0.67,-0.61,-1.5,-0.05,0.3,0.26
3.27,-0.74,-0.48,-1.23,-0.05,0.28,0.21
3.281,-0.76,-0.51,-1.02,-0.04,0.2,0.12
3.292,-0.76,-0.62,-0.63,0,0.1,0.08
3.302,-0.82,-0.61,-0.39,0.05,-0.02,0.04
3.313,-0.44,-0.39,-0.21,0.09,-0.12,-0.01
3.324,-0.62,-0.57,0,0.12,-0.19,-0.04
3.335,-0.39,-0.79,0.29,0.18,-0.25,-0.09
